Sanctuary_Id,Name,Location,Area
1,GreenValley Sanctuary,Forest Hills,1500.75
2,WildLife Haven,Mountain Range,2000.50
3,Natures Refuge,River Valley,1800.25
4,Serenity Sanctuary,Meadow Plains,1200.00
5,Azure Forest Reserve,Coastal Area,2500.30
6,Harmony Wildlife Park,Canyon Region,3000.75
7,Majestic Wilderness,Plateau Zone,2200.40
8,Tranquil Oasis,Desert Area,1700.60
9,Eco Harmony Reserve,Tropical Rainforest,2800.20
10,Evergreen Wildlife Preserve,Island Oasis,1900.80
11,Golden Meadows Wildlife Sanctuary,Grassland Plains,1400.45
12,Pristine Pine Forest,Northern Woodlands,2600.55
13,Lush Canyon Retreat,Valley of Springs,3200.90
14,Crystal Clear Lake Wildlife Sanctuary,Lakefront Area,2300.35
15,Sunrise Savannah Reserve,Savannah Grasslands,2000.25
16,Mystic Mountain Wildlife Haven,Mountain Summit,1800.70
17,Whispering Willow Wildlife Sanctuary,Wooded Glade,1400.80
18,Riverside Oasis,Riverbank Area,2100.95
19,Diverse Ecosystem Sanctuary,Biosphere Reserve,2700.40
20,Aurora Boreal Wildlife Refuge,Polar Region,1600.30
21,Enchanted Everglades,Wetland Area,1900.65
22,Crimson Cliff Wildlife Sanctuary,Cliffside Region,2300.20
23,Golden Horizon Wildlife Reserve,Golden Sands,2600.75
24,Eternal Iceberg Wildlife Sanctuary,Antarctic Zone,3100.80
25,Celestial Cloud Forest,High Altitude Plateau,2800.50
