Program_Id,Coach_Id,Organisation_Name,Organisation_Type,Date_of_Affiliation,Program_Period
1,1,Verdant Visions,Wildlife Rehabilitation,2023-01-01,12
2,2,Blue Planet Alliance,Environmental Advocacy,2023-02-01,6
3,3,Wildhaven Workshop,Habitat Preservation,2023-03-01,8
4,4,EcoPioneer Group,Environmental Advocacy,2023-04-01,10
5,5,Green Canopy Network,Wildlife Rehabilitation,2023-05-01,9
6,6,Solar Synergy Collective,Environmental Advocacy,2023-05-01,9
7,7,AquaGuard Foundation,Environmental Advocacy,2023-05-01,9
8,8,Natures Nexus Society,Wildlife Rehabilitation,2023-05-01,9
9,9,Earthwise Educators,Habitat Preservation,2023-05-01,9
10,10,Conservatech Innovators,Wildlife Rehabilitation,2023-05-01,9
11,11,FloraFauna Friends,Habitat Preservation,2023-05-01,9
12,12,Climate Crusaders,Wildlife Rehabilitation,2023-05-01,9
13,13,EcoEthic Enthusiasts,Habitat Preservation,2023-05-01,9
14,14,WildTrail Activists,Wildlife Rehabilitation,2023-05-01,9
15,15,SolarFlare Solutions,Wildlife Rehabilitation,2023-05-01,9
16,16,Ocean Odyssey Outreach,Environmental Advocacy,2023-05-01,9
17,17,Peak Pursuit Partners,Habitat Preservation,2023-05-01,9
18,18,Renewable Roots Group,Wildlife Rehabilitation,2023-05-01,9
19,19,EcoEngage Community,Habitat Preservation,2023-05-01,9
20,20,TerraTacticians,Habitat Preservation,2023-05-01,9
21,21,Vital Valley Ventures,Environmental Advocacy,2023-05-01,9
22,22,GreenGrowth Guardians,Wildlife Rehabilitation,2023-05-01,9
23,23,Habitat Harmony Hub,Environmental Advocacy,2023-05-01,9
24,24,EcoIntellect Network,Wildlife Rehabilitation,2023-05-01,9
25,25,"Planet Pioneers Project ",Environmental Advocacy,2023-12-01,7
